Value,Code,Label
Q2,1,מחל - הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
Q2,2,פה - יש עתיד בראשות יאיר לפיד
Q2,3,שס - התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצל
Q2,4,כן - כחול לבן בראשות בני גנץ
Q2,5,ב - ימינה בראשות נפתלי בנט
Q2,6,אמת - מפלגת העבודה בראשות מרב מיכאלי
Q2,7,"ג - יהדות התורה והשבת, אגודת ישראל - דגל התורה"
Q2,8,ל - ישראל ביתנו בראשות אביגדור ליברמן
Q2,9,ט - הציונות הדתית בראשות בצלאל סמוטריץ`
Q2,10,"ודעם - הרשימה המשותפת (חדש, תעל, בלד)"
Q2,11,ת - תקווה חדשה בהנהגת גדעון סער לראשות הממשלה
Q2,12,מרצ - השמאל של ישראל
Q2,13,עם - הרשימה הערבית המאוחדת
Q2,14,יז - הכלכלית החדשה בראשות פרופסור ירון זליכה
Q2,15,ר - רפא - רק בריאות בראשות דוקטור אריה אבני
Q2,16,מפלגה אחרת
Q2,17,פתק לבן | לא אצביע
Q3_1,0,No
,1,Yes
Q3_2,0,No
,1,Yes
Q3_3,0,No
,1,Yes
Q3_4,0,No
,1,Yes
Q3_5,0,No
,1,Yes
Q3_6,0,No
,1,Yes
Q3_7,0,No
,1,Yes
Q3_8,0,No
,1,Yes
Q3_9,0,No
,1,Yes
Q3_10,0,No
,1,Yes
Q3_11,0,No
,1,Yes
Q3_12,0,No
,1,Yes
Q3_13,0,No
,1,Yes
Q3_14,0,No
,1,Yes
Q3_15,0,No
,1,Yes
Q3_16,0,No
,1,Yes
Q3_17,0,No
,1,Yes
Q4,1,מועמדי מחל - הליכוד:
Q4,2,1 בנימין נתניהו
Q4,3,2 יולי אדלשטיין
Q4,4,3 ישראל כץ
Q4,5,4 מירי רגב
Q4,6,5 יריב לוין
Q4,7,6 יואב גלנט
Q4,8,7 ניר ברקת
Q4,9,8 גילה גמליאל
Q4,10,9 אבי דיכטר
Q4,11,10גלית דיסטל-אטבריאן
Q4,12,11 חיים כץ
Q4,13,12אלי כהן
Q4,14,13צחי הנגבי
Q4,15,14אופיר אקוניס
Q4,16,15יובל שטייניץ
Q4,17,16דודי אמסלם
Q4,18,17גדי יברקן
Q4,19,18אמיר אוחנה
Q4,20,19אופיר כץ
Q4,21,20אתי עטייה
Q4,22,21יואב קיש
Q4,23,22דוד ביטן
Q4,24,23קרן ברק
Q4,25,24שלמה קרעי
Q4,26,25מיקי זוהר
Q4,27,26אורלי לוי-אבקסיס
Q4,28,27קטי שטרית
Q4,29,28אופיר סופר
Q4,30,29פטין מולא
Q4,31,30מאי גולן
Q4,32,31טלי פלוסקוב
Q4,33,32עוזי דיין
Q4,34,33מועמד|ת אחר|ת מרשימת הליכוד
Q4,35,מועמדי פה - יש עתיד:
Q4,36,1 יאיר לפיד
Q4,37,2 אורנה ברביבאי
Q4,38,3 מאיר כהן
Q4,39,4 קארין אלהרר
Q4,40,5 מירב כהן
Q4,41,6 יואל רזבוזוב
Q4,42,7 אלעזר שטרן
Q4,43,8 מיקי לוי
Q4,44,9 מירב בן-ארי
Q4,45,10רם בן ברק
Q4,46,11 יואב סגלוביץ
Q4,47,12בועז טופורובסקי
Q4,48,13עידן רול
Q4,49,14יוראי להב-הרצנו
Q4,50,15ולדימיר בליאק
Q4,51,16רון כץ
Q4,52,17נירה שפק
Q4,53,18טניה מזרסקי
Q4,54,19מועמד|ת אחר|ת מרשימת יש עתיד
Q4,55,מועמדי שס:
Q4,56,1 אריה דרעי
Q4,57,2 יעקב מרגי
Q4,58,3 יואב בן-צור
Q4,59,4 מיכאל מלכיאלי
Q4,60,5 חיים ביטון
Q4,61,6 משה ארבל
Q4,62,7 ינון אזולאי
Q4,63,8 משה אבוטבול
Q4,64,9 אוריאל בוסו
Q4,65,10יוסי טייב
Q4,66,11 מועמד|ת אחר|ת מרשימת שס
Q4,67,מועמדי כן - כחול לבן:
Q4,68,1 בני גנץ
Q4,69,2 פנינה תמנו-שטה
Q4,70,3 חילי טרופר
Q4,71,4 מיכאל ביטון
Q4,72,5 אורית פרקש-הכהן
Q4,73,6 אלון שוסטר
Q4,74,7 איתן גינזבורג
Q4,75,8 יעל רון בן משה
Q4,76,9 מועמד|ת אחר|ת מרשימת כחול לבן
Q4,77,מועמדי ב - ימינה:
Q4,78,1 נפתלי בנט
Q4,79,2 איילת שקד
Q4,80,3 אלון דוידי
Q4,81,4 מתן כהנא
Q4,82,5 עמיחי שיקלי
Q4,83,6 ניר אורבך
Q4,84,7 אביר קארה
Q4,85,8 עידית סילמן
Q4,86,9 מועמד|ת אחר|ת מרשימת ימינה
Q4,87,מועמדי אמת - מפלגת העבודה:
Q4,88,1 מרב מיכאלי
Q4,89,2 עמר בר לב
Q4,90,3 אמילי מואטי
Q4,91,4 גלעד קריב
Q4,92,5 אפרת רייטן
Q4,93,6 רם שפע
Q4,94,7 אבתיסאם מראענה
Q4,95,8 נחמן שי
Q4,96,9 מועמד|ת אחר|ת מרשימת העבודה
Q4,97,מועמדי ג - יהדות התורה:
Q4,98,1 משה גפני
Q4,99,2 יעקב ליצמן
Q4,100,3 אורי מקלב
Q4,101,4 מאיר פרוש
Q4,102,5 יעקב אשר
Q4,103,6 ישראל אייכלר
Q4,104,7 יצחק פינדרוס
Q4,105,8 יעקב טסלר
Q4,106,9 מועמד|ת אחר|ת מרשימת יהדות התורה
Q4,107,מועמדי ל - ישראל ביתנו:
Q4,108,1 אביגדור ליברמן
Q4,109,2 עודד פורר
Q4,110,3 יבגני סובה
Q4,111,4 אלי אבידר
Q4,112,5 יוליה מלינובסקי
Q4,113,6 חמד עמאר
Q4,114,7 אלכס קושניר
Q4,115,8 יוסי שיין
Q4,116,9 מועמד|ת אחר|ת מרשימת ישראל ביתנו
Q4,117,רשימת ט - הציונות הדתית:
Q4,118,1 בצלאל סמוטריץ`
Q4,119,2 מיכל וולדיגר
Q4,120,3 איתמר בן-גביר
Q4,121,4 שמחה רוטמן
Q4,122,5 אורית סטרוק
Q4,123,6 אבי מעוז
Q4,124,7 רחל צינקין
Q4,125,8 איינאו אוריאל סנבטו
Q4,126,9 מועמד|ת אחר|ת מרשימת הציונות הדתית
Q4,127,מועמדי ודעם - הרשימה המשותפת:
Q4,128,1 איימן עודה
Q4,129,2 אחמד טיבי
Q4,130,3 סאמי אבו שחאדה
Q4,131,4 עאידה תומא-סלימאן
Q4,132,5 אוסאמה סעדי
Q4,133,6 עופר כסיף
Q4,134,7 היבה יזבק
Q4,135,8 יוסף ג`בארין
Q4,136,9 ג`ומעה אזבארקה
Q4,137,10סונדוס סאלח
Q4,138,11 מועמד|ת אחר|ת מהרשימה המשותפת
Q4,139,מועמדי ת - תקוה חדשה:
Q4,140,1 גדעון סער
Q4,141,2 יפעת שאשא-ביטון
Q4,142,3 זאב אלקין
Q4,143,4 יועז הנדל
Q4,144,5 שרן השכל
Q4,145,6 בנימין זאב בגין
Q4,146,7 מאיר יצחק-הלוי
Q4,147,8 צבי האוזר
Q4,148,9 מיכל שיר
Q4,149,10הילה שי-וזאן
Q4,150,11 מועמד|ת אחר|ת מרשימת תקוה חדשה
Q4,151,מועמדי מרצ:
Q4,152,1 ניצן הורוביץ
Q4,153,2 תמר זנדברג
Q4,154,3 יאיר גולן
Q4,155,4 ג`ידא רינאווי זועבי
Q4,156,5 עיסאווי פריג`
Q4,157,6 מוסי רז
Q4,158,7 מיכל רוזין
Q4,159,8 גבריאלה שוץ לסקי
Q4,160,9 מועמד|ת אחר|ת מרשימת מרצ
Q4,161,מועמדי עם - הרשימה הערבית המאוחדת:
Q4,162,1 מנסור עבאס
Q4,163,2 מאזן גנאים
Q4,164,3 וליד טאהא
Q4,165,4 סעיד אלח`רומי
Q4,166,5 אימאן ח`טיב-יאסין
Q4,167,6 מועמד|ת אחר|ת מרשימת רעמ
Q4,168,מועמדי יז - הכלכלית החדשה:
Q4,169,1 ירון זליכה
Q4,170,2 אסנת עקירב
Q4,171,3 עליאן אלקרינאוי
Q4,172,4 מועמד|ת אחר|ת מרשימת הכלכלית החדשה
Q4,173,מועמדי רפא - רק בריאות:
Q4,174,1 אריה אבני
Q4,175,2 שמואל לויט
Q4,176,3 אמנון לבב
Q4,177,4 מועמד|ת אחר|ת מרשימת רפא
Q5_1,0,No
,1,Yes
Q5_2,0,No
,1,Yes
Q5_3,0,No
,1,Yes
Q5_4,0,No
,1,Yes
Q5_5,0,No
,1,Yes
Q5_6,0,No
,1,Yes
Q5_7,0,No
,1,Yes
Q5_8,0,No
,1,Yes
Q5_9,0,No
,1,Yes
Q5_10,0,No
,1,Yes
Q5_11,0,No
,1,Yes
Q5_12,0,No
,1,Yes
Q5_13,0,No
,1,Yes
Q5_14,0,No
,1,Yes
Q5_15,0,No
,1,Yes
Q5_16,0,No
,1,Yes
Q5_17,0,No
,1,Yes
Q5_18,0,No
,1,Yes
Q5_19,0,No
,1,Yes
Q5_20,0,No
,1,Yes
Q5_21,0,No
,1,Yes
Q5_22,0,No
,1,Yes
Q5_23,0,No
,1,Yes
Q5_24,0,No
,1,Yes
Q5_25,0,No
,1,Yes
Q5_26,0,No
,1,Yes
Q5_27,0,No
,1,Yes
Q5_28,0,No
,1,Yes
Q5_29,0,No
,1,Yes
Q5_30,0,No
,1,Yes
Q5_31,0,No
,1,Yes
Q5_32,0,No
,1,Yes
Q5_33,0,No
,1,Yes
Q5_34,0,No
,1,Yes
Q5_35,0,No
,1,Yes
Q5_36,0,No
,1,Yes
Q5_37,0,No
,1,Yes
Q5_38,0,No
,1,Yes
Q5_39,0,No
,1,Yes
Q5_40,0,No
,1,Yes
Q5_41,0,No
,1,Yes
Q5_42,0,No
,1,Yes
Q5_43,0,No
,1,Yes
Q5_44,0,No
,1,Yes
Q5_45,0,No
,1,Yes
Q5_46,0,No
,1,Yes
Q5_47,0,No
,1,Yes
Q5_48,0,No
,1,Yes
Q5_49,0,No
,1,Yes
Q5_50,0,No
,1,Yes
Q5_51,0,No
,1,Yes
Q5_52,0,No
,1,Yes
Q5_53,0,No
,1,Yes
Q5_54,0,No
,1,Yes
Q5_55,0,No
,1,Yes
Q5_56,0,No
,1,Yes
Q5_57,0,No
,1,Yes
Q5_58,0,No
,1,Yes
Q5_59,0,No
,1,Yes
Q5_60,0,No
,1,Yes
Q5_61,0,No
,1,Yes
Q5_62,0,No
,1,Yes
Q5_63,0,No
,1,Yes
Q5_64,0,No
,1,Yes
Q5_65,0,No
,1,Yes
Q5_66,0,No
,1,Yes
Q5_67,0,No
,1,Yes
Q5_68,0,No
,1,Yes
Q5_69,0,No
,1,Yes
Q5_70,0,No
,1,Yes
Q5_71,0,No
,1,Yes
Q5_72,0,No
,1,Yes
Q5_73,0,No
,1,Yes
Q5_74,0,No
,1,Yes
Q5_75,0,No
,1,Yes
Q5_76,0,No
,1,Yes
Q5_77,0,No
,1,Yes
Q5_78,0,No
,1,Yes
Q5_79,0,No
,1,Yes
Q5_80,0,No
,1,Yes
Q5_81,0,No
,1,Yes
Q5_82,0,No
,1,Yes
Q5_83,0,No
,1,Yes
Q5_84,0,No
,1,Yes
Q5_85,0,No
,1,Yes
Q5_86,0,No
,1,Yes
Q5_87,0,No
,1,Yes
Q5_88,0,No
,1,Yes
Q5_89,0,No
,1,Yes
Q5_90,0,No
,1,Yes
Q5_91,0,No
,1,Yes
Q5_92,0,No
,1,Yes
Q5_93,0,No
,1,Yes
Q5_94,0,No
,1,Yes
Q5_95,0,No
,1,Yes
Q5_96,0,No
,1,Yes
Q5_97,0,No
,1,Yes
Q5_98,0,No
,1,Yes
Q5_99,0,No
,1,Yes
Q5_100,0,No
,1,Yes
Q5_101,0,No
,1,Yes
Q5_102,0,No
,1,Yes
Q5_103,0,No
,1,Yes
Q5_104,0,No
,1,Yes
Q5_105,0,No
,1,Yes
Q5_106,0,No
,1,Yes
Q5_107,0,No
,1,Yes
Q5_108,0,No
,1,Yes
Q5_109,0,No
,1,Yes
Q5_110,0,No
,1,Yes
Q5_111,0,No
,1,Yes
Q5_112,0,No
,1,Yes
Q5_113,0,No
,1,Yes
Q5_114,0,No
,1,Yes
Q5_115,0,No
,1,Yes
Q5_116,0,No
,1,Yes
Q5_117,0,No
,1,Yes
Q5_118,0,No
,1,Yes
Q5_119,0,No
,1,Yes
Q5_120,0,No
,1,Yes
Q5_121,0,No
,1,Yes
Q5_122,0,No
,1,Yes
Q5_123,0,No
,1,Yes
Q5_124,0,No
,1,Yes
Q5_125,0,No
,1,Yes
Q5_126,0,No
,1,Yes
Q5_127,0,No
,1,Yes
Q5_128,0,No
,1,Yes
Q5_129,0,No
,1,Yes
Q5_130,0,No
,1,Yes
Q5_131,0,No
,1,Yes
Q5_132,0,No
,1,Yes
Q5_133,0,No
,1,Yes
Q5_134,0,No
,1,Yes
Q5_135,0,No
,1,Yes
Q5_136,0,No
,1,Yes
Q5_137,0,No
,1,Yes
Q5_138,0,No
,1,Yes
Q5_139,0,No
,1,Yes
Q5_140,0,No
,1,Yes
Q5_141,0,No
,1,Yes
Q5_142,0,No
,1,Yes
Q5_143,0,No
,1,Yes
Q5_144,0,No
,1,Yes
Q5_145,0,No
,1,Yes
Q5_146,0,No
,1,Yes
Q5_147,0,No
,1,Yes
Q5_148,0,No
,1,Yes
Q5_149,0,No
,1,Yes
Q5_150,0,No
,1,Yes
Q5_151,0,No
,1,Yes
Q5_152,0,No
,1,Yes
Q5_153,0,No
,1,Yes
Q5_154,0,No
,1,Yes
Q5_155,0,No
,1,Yes
Q5_156,0,No
,1,Yes
Q5_157,0,No
,1,Yes
Q5_158,0,No
,1,Yes
Q5_159,0,No
,1,Yes
Q5_160,0,No
,1,Yes
Q5_161,0,No
,1,Yes
Q5_162,0,No
,1,Yes
Q5_163,0,No
,1,Yes
Q5_164,0,No
,1,Yes
Q5_165,0,No
,1,Yes
Q5_166,0,No
,1,Yes
Q5_167,0,No
,1,Yes
Q5_168,0,No
,1,Yes
Q5_169,0,No
,1,Yes
Q5_170,0,No
,1,Yes
Q5_171,0,No
,1,Yes
Q5_172,0,No
,1,Yes
Q5_173,0,No
,1,Yes
Q5_174,0,No
,1,Yes
Q5_175,0,No
,1,Yes
Q5_176,0,No
,1,Yes
Q5_177,0,No
,1,Yes
Q6_1,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_2,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_3,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_4,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_5,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_6,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_7,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q6_8,1,1 - הרצוי ביותר
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8 - הכי פחות רצוי
Q7,1,בחירות מפלגתיות כאשר מצביעים למפלגה אחת (כמו השיטה הנהוגה בישראל כיום)
Q7,2,בחירות אישיות כאשר מצביעים למועמד אחד ממפלגה (כמו בשאלה 4)
Q7,3,בחירות אישיות כאשר אפשר לדרג את כל המועמדים (כמו בשאלה 6)
Q7,4,מתלבט|ת
Q8,1,<none>
col_1,0,NA
col_1,1,זכר
col_1,2,נקבה
col_2,0,NA
col_2,1,10-12
col_2,2,13-17
col_2,3,18-20
col_2,4,21-30
col_2,5,31-40
col_2,6,41-50
col_2,7,51
col_3,0,NA
col_3,1,צפון
col_3,2,חיפה
col_3,3,מרכז הארץ
col_3,4,תל אביב
col_3,5,ירושלים
col_3,6,יהודה ושומרון
col_3,7,דרום
col_8,0,NA
col_8,1,רווק
col_8,2,נשוי
col_8,3,גרוש
col_8,4,פרוד
col_8,5,אלמן
col_9,0,NA
col_9,1,יסודית
col_9,2,תיכונית חלקית
col_9,3,תיכונית מלאה
col_9,4,על תיכונית
col_9,5,אקדמאית - תואר ראשון
col_9,6,אקדמאית - תואר שני ומעלה
col_9,7,מכינה
col_10,0,NA
col_10,1,יהודי
col_10,2,ערבי מוסלמי
col_10,3,ערבי נוצרי
col_10,4,דרוזי
col_10,5,הינדי
col_10,6,בהאיי
col_10,7,אתאיסט
col_10,8,אחר
col_10,9,נוצרי (לא ערבי)
col_21,0,NA
col_21,1,הרבה מתחת לממוצע
col_21,2,מעט מתחת לממוצע
col_21,3,כמו הממוצע
col_21,4,מעט מעל הממוצע
col_21,5,הרבה מעל הממוצע
col_21,6,איני מעוניין להשיב
col_30,0,NA
col_30,1,1
col_30,2,2
col_30,3,3
col_30,4,4
col_30,5,5
col_30,6,6
col_30,7,7
col_30,8,8
col_30,9,9
col_30,10,10
col_30,11,11
col_30,12,12
col_30,13,13
col_30,14,14
col_30,15,15
col_30,16,16
col_30,17,17
col_30,18,18
col_30,19,19
col_30,20,20
col_30,21,21
col_30,22,22
col_30,23,23
col_30,24,24
col_30,25,25
col_30,26,26
col_30,27,27
col_30,28,28
col_30,29,29
col_30,30,30
col_30,31,31
col_30,32,32
col_30,33,33
col_30,34,34
col_30,35,35
col_30,36,36
col_30,37,37
col_30,38,38
col_30,39,39
col_30,40,40
col_30,41,41
col_30,42,42
col_30,43,43
col_30,44,44
col_30,45,45
col_30,46,46
col_30,47,47
col_30,48,48
col_30,49,49
col_30,50,50
col_30,51,51
col_30,52,52
col_30,53,53
col_30,54,54
col_30,55,55
col_30,56,56
col_30,57,57
col_30,58,58
col_30,59,59
col_30,60,60
col_30,61,61
col_30,62,62
col_30,63,63
col_30,64,64
col_30,65,65
col_30,66,66
col_30,67,67
col_30,68,68
col_30,69,69
col_30,70,70
col_30,71,71
col_30,72,72
col_30,73,73
col_30,74,74
col_30,75,75
col_30,76,76
col_30,77,77
col_30,78,78
col_30,79,79
col_30,80,80
col_30,81,81
col_30,82,82
col_30,83,83
col_30,84,84
col_30,85,85
col_30,86,86
col_30,87,87
col_30,88,88
col_30,89,89
col_30,90,90
col_30,91,91
col_30,92,92
col_30,93,93
col_30,94,94
col_30,95,95
col_30,96,96
col_30,97,97
col_30,98,98
col_30,99,99
col_42,0,NA
col_42,1,חילוני
col_42,2,מסורתי
col_42,3,דתי
col_42,4,חרדי
col_2581,0,NA
col_2581,1,02 - ירושלים
col_2581,2,03 - מרכז
col_2581,3,04 - צפון
col_2581,4,08 - דרום
col_2581,5,09 - שרון
